text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
red,yellow,0,5,4,1,934
yellow,red,0,4,1,1,595
yellow,blue,0,3,3,1,537
red,blue,0,7,3,1,418
green,yellow,0,9,2,2,476
green,blue,0,11,3,1,847
green,red,0,12,1,1,502
red,blue,0,7,3,1,604
blue,red,0,16,1,1,610
green,green,1,10,2,1,606
blue,green,0,14,2,1,744
yellow,red,0,4,1,1,493
red,yellow,0,5,4,1,450
green,green,1,10,2,1,578
green,blue,0,11,3,1,473
blue,blue,1,15,3,1,418
red,blue,0,7,3,1,419
red,green,0,6,2,1,664
blue,green,0,14,2,1,402
yellow,yellow,1,1,4,1,405
green,yellow,0,9,4,1,393
blue,red,0,16,1,1,495
red,blue,0,7,3,1,406
blue,blue,1,15,3,1,388
yellow,green,0,2,2,1,621
blue,blue,1,15,2,2,391
red,green,0,6,2,1,906
yellow,yellow,1,1,4,1,545
red,yellow,0,5,4,1,396
green,yellow,0,9,4,1,366
blue,red,0,16,1,1,652
yellow,blue,0,3,3,1,545
blue,yellow,0,13,4,1,677
blue,yellow,0,13,4,1,458
red,yellow,0,5,4,1,425
blue,red,0,16,1,1,511
blue,green,0,14,2,1,759
red,yellow,0,5,4,1,479
blue,yellow,0,13,4,1,490
yellow,red,0,4,1,1,713
yellow,yellow,1,1,4,1,556
red,green,0,6,2,1,1060
green,blue,0,11,3,1,590
green,yellow,0,9,4,1,549
yellow,blue,0,3,3,1,652
yellow,green,0,2,2,1,709
red,green,0,6,2,1,541
yellow,blue,0,3,4,2,666
green,red,0,12,1,1,534
green,green,1,10,2,1,688
red,red,1,8,1,1,679
green,green,1,10,2,1,587
yellow,blue,0,3,3,1,588
green,green,1,10,2,1,597
red,red,1,8,1,1,501
yellow,green,0,2,2,1,829
green,red,0,12,1,1,568
red,red,1,8,1,1,476
red,red,1,8,1,1,446
yellow,red,0,4,1,1,552
yellow,yellow,1,1,4,1,508
yellow,blue,0,3,3,1,517
yellow,green,0,2,2,1,546
green,yellow,0,9,4,1,844
green,yellow,0,9,4,1,441
blue,blue,1,15,3,1,495
green,green,1,10,2,1,484
green,red,0,12,1,1,540
blue,red,0,16,1,1,357
yellow,green,0,2,2,1,695
red,red,1,8,1,1,456
green,yellow,0,9,4,1,602
yellow,green,0,2,2,1,493
blue,blue,1,15,3,1,449
red,blue,0,7,3,1,420
blue,yellow,0,13,4,1,478
blue,red,0,16,1,1,608
red,yellow,0,5,4,1,532
yellow,blue,0,3,3,1,488
green,blue,0,11,3,1,465
yellow,blue,0,3,3,1,361
blue,green,0,14,2,1,565
yellow,red,0,4,1,1,448
yellow,red,0,4,1,1,419
yellow,red,0,4,1,1,396
green,blue,0,11,3,1,545
red,blue,0,7,3,1,591
yellow,red,0,4,1,1,491
yellow,yellow,1,1,4,1,437
blue,red,0,16,1,1,500
red,green,0,6,2,1,507
blue,green,0,14,2,1,397
green,blue,0,11,3,1,635
red,blue,0,7,3,1,385
green,blue,0,11,3,1,415
red,green,0,6,2,1,754
yellow,yellow,1,1,4,1,391
green,red,0,12,1,1,507
blue,yellow,0,13,4,1,421
green,red,0,12,1,1,528
yellow,yellow,1,1,4,1,484
green,green,1,10,2,1,339
green,red,0,12,1,1,472
yellow,yellow,1,1,4,1,787
red,green,0,6,2,1,498
blue,yellow,0,13,4,1,657
blue,blue,1,15,3,1,621
blue,green,0,14,2,1,1003
red,yellow,0,5,4,1,685
blue,green,0,14,2,1,794
red,red,1,8,1,1,499
red,yellow,0,5,4,1,616
green,green,1,10,2,1,507
yellow,green,0,2,4,2,494
green,yellow,0,9,4,1,601
blue,red,0,16,1,1,477
blue,green,0,14,2,1,607
blue,blue,1,15,3,1,469
red,red,1,8,1,1,500
red,green,0,6,2,1,826
